"(gene:""ABCA1"")"
"(gene:""SLC19A1"")"
"(gene:""ABCA10"")"
"(gene:""SLC19A2"")"
"(gene:""ABCA13"")"
"(gene:""SLC19A3"")"
"(gene:""ABCA2"")"
"(gene:""SLC1A1"")"
"(gene:""ABCA3"")"
"(gene:""SLC1A2"")"
"(gene:""ABCA4"")"
"(gene:""SLC1A3"")"
"(gene:""ABCA5"")"
"(gene:""SLC1A4"")"
"(gene:""ABCA6"")"
"(gene:""SLC1A5"")"
"(gene:""ABCA7"")"
"(gene:""SLC1A6"")"
"(gene:""ABCA8"")"
"(gene:""SLC1A7"")"
"(gene:""ABCA9"")"
"(gene:""SLC20A1"")"
"(gene:""ABCB1"")"
"(gene:""SLC20A2"")"
"(gene:""ABCB10"")"
"(gene:""SLC22A1"")"
"(gene:""ABCB11"")"
"(gene:""SLC22A10"")"
"(gene:""ABCB4"")"
"(gene:""SLC22A12"")"
"(gene:""ABCB5"")"
"(gene:""SLC22A15"")"
"(gene:""ABCB6"")"
"(gene:""SLC22A16"")"
"(gene:""ABCB8"")"
"(gene:""SLC22A17"")"
"(gene:""ABCC1"")"
"(gene:""SLC22A18"")"
"(gene:""ABCC10"")"
"(gene:""SLC22A23"")"
"(gene:""ABCC13"")"
"(gene:""SLC22A25"")"
"(gene:""ABCC2"")"
"(gene:""SLC22A3"")"
"(gene:""ABCC3"")"
"(gene:""SLC22A31"")"
"(gene:""ABCC4"")"
"(gene:""SLC22A4"")"
"(gene:""ABCC5"")"
"(gene:""SLC22A5"")"
"(gene:""ABCC6"")"
"(gene:""SLC22A7"")"
"(gene:""ABCC9"")"
"(gene:""SLC22A8"")"
"(gene:""ABCD1"")"
"(gene:""SLC22A9"")"
"(gene:""ABCD2"")"
"(gene:""SLC23A1"")"
"(gene:""ABCD3"")"
"(gene:""SLC23A2"")"
"(gene:""ABCD4"")"
"(gene:""SLC23A3"")"
"(gene:""ABCE1"")"
"(gene:""SLC24A1"")"
"(gene:""ABCF1"")"
"(gene:""SLC24A2"")"
"(gene:""ABCF2"")"
"(gene:""SLC24A3"")"
"(gene:""ABCF3"")"
"(gene:""SLC24A4"")"
"(gene:""ABCG1"")"
"(gene:""SLC24A6"")"
"(gene:""ABCG2"")"
"(gene:""SLC25A1"")"
"(gene:""ABCG4"")"
"(gene:""SLC25A10"")"
"(gene:""ABCG5"")"
"(gene:""SLC25A11"")"
"(gene:""ABCG8"")"
"(gene:""SLC25A12"")"
"(gene:""SLC10A1"")"
"(gene:""SLC25A13"")"
"(gene:""SLC10A3"")"
"(gene:""SLC25A14"")"
"(gene:""SLC10A4"")"
"(gene:""SLC25A15"")"
"(gene:""SLC10A5"")"
"(gene:""SLC25A16"")"
"(gene:""SLC10A6"")"
"(gene:""SLC25A17"")"
"(gene:""SLC10A7"")"
"(gene:""SLC25A18"")"
"(gene:""SLC11A1"")"
"(gene:""SLC25A19"")"
"(gene:""SLC11A2"")"
"(gene:""SLC25A2"")"
"(gene:""SLC12A2"")"
"(gene:""SLC25A20"")"
"(gene:""SLC12A3"")"
"(gene:""SLC25A21"")"
"(gene:""SLC12A4"")"
"(gene:""SLC25A22"")"
"(gene:""SLC12A6"")"
"(gene:""SLC25A23"")"
"(gene:""SLC12A7"")"
"(gene:""SLC25A24"")"
"(gene:""SLC12A8"")"
"(gene:""SLC25A25"")"
"(gene:""SLC12A9"")"
"(gene:""SLC25A26"")"
"(gene:""SLC13A3"")"
"(gene:""SLC25A28"")"
"(gene:""SLC13A5"")"
"(gene:""SLC25A29"")"
"(gene:""SLC14A1"")"
"(gene:""SLC25A3"")"
"(gene:""SLC14A2"")"
"(gene:""SLC25A30"")"
"(gene:""SLC15A1"")"
"(gene:""SLC25A32"")"
"(gene:""SLC15A2"")"
"(gene:""SLC25A33"")"
"(gene:""SLC15A3"")"
"(gene:""SLC25A35"")"
"(gene:""SLC15A4"")"
"(gene:""SLC25A36"")"
"(gene:""SLC16A1"")"
"(gene:""SLC25A37"")"
"(gene:""SLC16A10"")"
"(gene:""SLC25A38"")"
"(gene:""SLC16A11"")"
"(gene:""SLC25A39"")"
"(gene:""SLC16A12"")"
"(gene:""SLC25A4"")"
"(gene:""SLC16A13"")"
"(gene:""SLC25A40"")"
"(gene:""SLC16A14"")"
"(gene:""SLC25A42"")"
"(gene:""SLC16A2"")"
"(gene:""SLC25A43"")"
"(gene:""SLC16A3"")"
"(gene:""SLC25A44"")"
"(gene:""SLC16A4"")"
"(gene:""SLC25A45"")"
"(gene:""SLC16A5"")"
"(gene:""SLC25A46"")"
"(gene:""SLC16A6"")"
"(gene:""SLC25A47"")"
"(gene:""SLC16A9"")"
"(gene:""SLC25A48"")"
"(gene:""SLC17A1"")"
"(gene:""SLC25A5"")"
"(gene:""SLC17A2"")"
"(gene:""SLC25A51"")"
"(gene:""SLC17A3"")"
"(gene:""SLC25A52"")"
"(gene:""SLC17A4"")"
"(gene:""SLC25A6"")"
"(gene:""SLC17A5"")"
"(gene:""SLC26A1"")"
"(gene:""SLC17A7"")"
"(gene:""SLC26A10"")"
"(gene:""SLC17A8"")"
"(gene:""SLC26A11"")"
"(gene:""SLC17A9"")"
"(gene:""SLC26A2"")"
"(gene:""SLC18A2"")"
"(gene:""SLC26A4"")"
"(gene:""SLC18A3"")"
"(gene:""SLC26A5"")"
"(gene:""SLC18B1"")"
"(gene:""SLC26A6"")"
"(gene:""SLC26A7"")"
"(gene:""SLC39A14"")"
"(gene:""SLC26A8"")"
"(gene:""SLC39A2"")"
"(gene:""SLC27A1"")"
"(gene:""SLC39A3"")"
"(gene:""SLC27A2"")"
"(gene:""SLC39A4"")"
"(gene:""SLC27A3"")"
"(gene:""SLC39A5"")"
"(gene:""SLC27A4"")"
"(gene:""SLC39A6"")"
"(gene:""SLC27A5"")"
"(gene:""SLC39A7"")"
"(gene:""SLC28A1"")"
"(gene:""SLC39A8"")"
"(gene:""SLC28A2"")"
"(gene:""SLC39A9"")"
"(gene:""SLC28A3"")"
"(gene:""SLC3A1"")"
"(gene:""SLC29A1"")"
"(gene:""SLC3A2"")"
"(gene:""SLC29A2"")"
"(gene:""SLC40A1"")"
"(gene:""SLC29A3"")"
"(gene:""SLC41A1"")"
"(gene:""SLC29A4"")"
"(gene:""SLC41A2"")"
"(gene:""SLC2A1"")"
"(gene:""SLC41A3"")"
"(gene:""SLC2A10"")"
"(gene:""SLC43A1"")"
"(gene:""SLC2A11"")"
"(gene:""SLC43A2"")"
"(gene:""SLC2A12"")"
"(gene:""SLC43A3"")"
"(gene:""SLC2A13"")"
"(gene:""SLC44A1"")"
"(gene:""SLC2A14"")"
"(gene:""SLC44A2"")"
"(gene:""SLC2A2"")"
"(gene:""SLC44A3"")"
"(gene:""SLC2A3"")"
"(gene:""SLC44A4"")"
"(gene:""SLC2A4"")"
"(gene:""SLC44A5"")"
"(gene:""SLC2A5"")"
"(gene:""SLC45A1"")"
"(gene:""SLC2A6"")"
"(gene:""SLC45A3"")"
"(gene:""SLC2A7"")"
"(gene:""SLC45A4"")"
"(gene:""SLC2A9"")"
"(gene:""SLC46A1"")"
"(gene:""SLC30A1"")"
"(gene:""SLC46A2"")"
"(gene:""SLC30A10"")"
"(gene:""SLC46A3"")"
"(gene:""SLC30A2"")"
"(gene:""SLC47A1"")"
"(gene:""SLC30A3"")"
"(gene:""SLC48A1"")"
"(gene:""SLC30A4"")"
"(gene:""SLC4A1"")"
"(gene:""SLC30A5"")"
"(gene:""SLC4A11"")"
"(gene:""SLC30A6"")"
"(gene:""SLC4A2"")"
"(gene:""SLC30A7"")"
"(gene:""SLC4A3"")"
"(gene:""SLC30A9"")"
"(gene:""SLC4A4"")"
"(gene:""SLC31A1"")"
"(gene:""SLC4A5"")"
"(gene:""SLC31A2"")"
"(gene:""SLC4A7"")"
"(gene:""SLC32A1"")"
"(gene:""SLC4A8"")"
"(gene:""SLC33A1"")"
"(gene:""SLC4A9"")"
"(gene:""SLC34A1"")"
"(gene:""SLC50A1"")"
"(gene:""SLC34A2"")"
"(gene:""SLC51A"")"
"(gene:""SLC35A1"")"
"(gene:""SLC51B"")"
"(gene:""SLC35A2"")"
"(gene:""SLC52A1"")"
"(gene:""SLC35A4"")"
"(gene:""SLC52A2"")"
"(gene:""SLC35A5"")"
"(gene:""SLC52A3"")"
"(gene:""SLC35B1"")"
"(gene:""SLC5A1"")"
"(gene:""SLC35B2"")"
"(gene:""SLC5A10"")"
"(gene:""SLC35B3"")"
"(gene:""SLC5A11"")"
"(gene:""SLC35B4"")"
"(gene:""SLC5A12"")"
"(gene:""SLC35C1"")"
"(gene:""SLC5A3"")"
"(gene:""SLC35C2"")"
"(gene:""SLC5A4"")"
"(gene:""SLC35D1"")"
"(gene:""SLC5A6"")"
"(gene:""SLC35D2"")"
"(gene:""SLC5A9"")"
"(gene:""SLC35D3"")"
"(gene:""SLC6A1"")"
"(gene:""SLC35E1"")"
"(gene:""SLC6A11"")"
"(gene:""SLC35E2"")"
"(gene:""SLC6A12"")"
"(gene:""SLC35E3"")"
"(gene:""SLC6A13"")"
"(gene:""SLC35E4"")"
"(gene:""SLC6A15"")"
"(gene:""SLC35F1"")"
