"(gene:""AADAC"")"
"(gene:""CYP4F3"")"
"(gene:""AKR1A1"")"
"(gene:""CYP4V2"")"
"(gene:""AKR1B1"")"
"(gene:""CYP4X1"")"
"(gene:""AKR1B10"")"
"(gene:""CYP4Z1"")"
"(gene:""AKR1C1"")"
"(gene:""CYP51A1"")"
"(gene:""AKR1C2"")"
"(gene:""CYP7A1"")"
"(gene:""AKR1C3"")"
"(gene:""CYP7B1"")"
"(gene:""AKR1C4"")"
"(gene:""CYP8B1"")"
"(gene:""AKR1D1"")"
"(gene:""DHFR"")"
"(gene:""AKR1E2"")"
"(gene:""DHFRL1"")"
"(gene:""AKR7A2"")"
"(gene:""EPHX1"")"
"(gene:""AKR7A3"")"
"(gene:""EPHX2"")"
"(gene:""ALDH16A1"")"
"(gene:""EPHX3"")"
"(gene:""ALDH1A1"")"
"(gene:""EPHX4"")"
"(gene:""ALDH1A2"")"
"(gene:""ESD"")"
"(gene:""ALDH1A3"")"
"(gene:""FMO1"")"
"(gene:""ALDH1B1"")"
"(gene:""FMO2"")"
"(gene:""ALDH1L1"")"
"(gene:""FMO3"")"
"(gene:""ALDH1L2"")"
"(gene:""FMO4"")"
"(gene:""ALDH2"")"
"(gene:""FMO5"")"
"(gene:""ALDH3A1"")"
"(gene:""GGT1"")"
"(gene:""ALDH3A2"")"
"(gene:""GGT5"")"
"(gene:""ALDH3B1"")"
"(gene:""GGT7"")"
"(gene:""ALDH4A1"")"
"(gene:""GGTLC2"")"
"(gene:""ALDH5A1"")"
"(gene:""GLYAT"")"
"(gene:""ALDH6A1"")"
"(gene:""GLYATL1"")"
"(gene:""ALDH7A1"")"
"(gene:""GLYATL2"")"
"(gene:""ALDH8A1"")"
"(gene:""GLYATL3"")"
"(gene:""ALDH9A1"")"
"(gene:""GPX1"")"
"(gene:""ALOX12"")"
"(gene:""GPX2"")"
"(gene:""ALOX15"")"
"(gene:""GPX3"")"
"(gene:""ALOX5"")"
"(gene:""GPX4"")"
"(gene:""AOC2"")"
"(gene:""GPX7"")"
"(gene:""AOC3"")"
"(gene:""GPX8"")"
"(gene:""AOX1"")"
"(gene:""GSTA1"")"
"(gene:""XDH"")"
"(gene:""GSTA2"")"
"(gene:""BAAT"")"
"(gene:""GSTA4"")"
"(gene:""BCHE"")"
"(gene:""GSTA5"")"
"(gene:""BLVRA"")"
"(gene:""GSTM1"")"
"(gene:""CES1"")"
"(gene:""GSTM2"")"
"(gene:""CES2"")"
"(gene:""GSTM3"")"
"(gene:""CES3"")"
"(gene:""GSTM4"")"
"(gene:""CHDH"")"
"(gene:""GSTM5"")"
"(gene:""COMT"")"
"(gene:""GSTP1"")"
"(gene:""CYP11A1"")"
"(gene:""GSTT1"")"
"(gene:""CYP11B1"")"
"(gene:""GSTT2"")"
"(gene:""CYP17A1"")"
"(gene:""GSTT2B"")"
"(gene:""CYP19A1"")"
"(gene:""IL4I1"")"
"(gene:""CYP1A1"")"
"(gene:""LOXL2"")"
"(gene:""CYP1A2"")"
"(gene:""LOXL3"")"
"(gene:""CYP1B1"")"
"(gene:""LOXL4"")"
"(gene:""CYP20A1"")"
"(gene:""LTA4H"")"
"(gene:""CYP24A1"")"
"(gene:""MAOA"")"
"(gene:""CYP26A1"")"
"(gene:""MAOB"")"
"(gene:""CYP26B1"")"
"(gene:""MGST1"")"
"(gene:""CYP26C1"")"
"(gene:""MGST2"")"
"(gene:""CYP27A1"")"
"(gene:""MGST3"")"
"(gene:""CYP27B1"")"
"(gene:""NAT2"")"
"(gene:""CYP2A13"")"
"(gene:""NDOR1"")"
"(gene:""CYP2A6"")"
"(gene:""POR"")"
"(gene:""CYP2A7"")"
"(gene:""SULT1A1"")"
"(gene:""CYP2B6"")"
"(gene:""SULT1A2"")"
"(gene:""CYP2C18"")"
"(gene:""SULT1A4"")"
"(gene:""CYP2C19"")"
"(gene:""SULT1B1"")"
"(gene:""CYP2C8"")"
"(gene:""SULT1C2"")"
"(gene:""CYP2C9"")"
"(gene:""SULT1C4"")"
"(gene:""CYP2D6"")"
"(gene:""SULT1E1"")"
"(gene:""CYP2E1"")"
"(gene:""SULT2A1"")"
"(gene:""CYP2F1"")"
"(gene:""SULT2B1"")"
"(gene:""CYP2J2"")"
"(gene:""TPMT"")"
"(gene:""CYP2R1"")"
"(gene:""UGT1A1"")"
"(gene:""CYP2S1"")"
"(gene:""UGT1A10"")"
"(gene:""CYP2U1"")"
"(gene:""UGT1A3"")"
"(gene:""CYP2W1"")"
"(gene:""UGT1A4"")"
"(gene:""CYP39A1"")"
"(gene:""UGT1A8"")"
"(gene:""CYP3A4"")"
"(gene:""UGT1A9"")"
"(gene:""CYP3A5"")"
"(gene:""UGT2A3"")"
"(gene:""CYP3A7"")"
"(gene:""UGT2B10"")"
"(gene:""CYP46A1"")"
"(gene:""UGT2B11"")"
"(gene:""CYP4A11"")"
"(gene:""UGT2B15"")"
"(gene:""CYP4A22"")"
"(gene:""UGT2B17"")"
"(gene:""CYP4B1"")"
"(gene:""UGT2B4"")"
"(gene:""CYP4F11"")"
"(gene:""UGT2B7"")"
"(gene:""CYP4F12"")"
"(gene:""UGT3A1"")"
"(gene:""CYP4F2"")"
"(gene:""UGT3A2"")"
"(gene:""CYP4F22"")"
